Brand,Variety,Style,Country,Stars
63,1433,4,0,0
154,1498,5,33,1
192,1966,5,15,0
192,2008,1,35,0
147,1630,1,33,0
120,575,5,29,1
92,1784,6,30,0
192,1715,5,18,1
162,1657,1,5,1
195,1898,4,35,1
108,782,5,19,1
214,2370,5,26,1
172,1331,5,35,1
110,875,4,17,1
6,1870,4,17,1
192,369,6,35,1
344,1887,5,32,0
55,95,5,5,0
110,1256,5,17,1
84,1141,5,5,0
192,172,4,35,0
330,1111,5,37,1
192,2285,5,35,1
59,1753,4,17,0
131,341,4,33,0
165,1330,1,18,0
192,1747,5,18,1
150,419,5,5,0
267,2326,5,35,0
160,242,1,35,1
192,1823,1,18,1
179,303,5,34,0
192,412,4,35,0
192,644,1,18,1
336,2105,1,32,0
122,166,1,14,0
287,653,5,18,1
208,1131,1,30,1
313,1192,5,17,0
296,1521,5,15,1
349,1849,1,18,0
190,2128,1,18,1
153,871,5,26,0
254,1886,5,18,1
318,1834,5,32,1
312,375,5,0,0
178,1208,5,30,0
195,1345,5,30,1
343,2013,5,5,1
158,1844,5,35,0
192,1450,4,18,1
195,226,1,35,1
192,463,4,35,0
293,2348,1,32,0
254,1316,1,18,0
159,1343,5,19,1
195,207,1,35,0
192,506,4,20,0
192,614,1,14,1
287,2235,1,18,1
161,1130,1,18,0
183,1020,1,18,1
195,1850,5,30,0
326,122,4,34,0
181,1558,2,18,1
7,652,4,18,1
206,1723,5,20,1
195,2086,4,30,1
107,1250,6,35,0
192,233,1,35,0
74,2160,5,14,1
16,1799,5,22,0
49,799,6,18,1
6,1273,4,17,1
166,2010,5,35,0
184,1694,5,18,1
318,12,5,32,1
195,1394,5,30,0
181,1572,5,19,1
134,1184,5,29,1
192,587,1,14,0
309,1329,5,18,1
195,1768,5,36,0
249,1925,4,30,0
192,448,4,14,1
329,1622,5,27,1
30,1318,5,17,0
192,1681,1,35,0
152,758,5,32,0
336,709,5,32,0
178,1851,5,30,0
192,497,4,33,1
192,606,5,14,0
249,1108,5,30,1
243,334,5,35,0
33,1873,4,5,0
32,920,5,16,0
318,1324,5,32,0
125,964,5,31,0
5,2334,5,19,0
192,1991,5,20,1
343,2012,5,5,1
195,789,5,30,1
160,861,5,18,0
202,2034,5,37,0
248,141,1,30,0
329,2294,5,37,0
195,218,1,35,0
55,91,5,5,1
147,963,4,33,1
192,2300,1,18,1
192,498,4,14,1
277,2256,1,33,0
4,1404,5,32,0
206,2037,1,30,1
155,22,5,16,1
160,1916,1,18,1
206,253,5,30,0
183,856,5,18,1
153,1546,5,26,0
192,238,1,35,0
192,635,4,33,1
156,2333,5,17,1
157,937,5,33,0
160,2388,6,35,0
154,1731,5,21,0
160,204,1,35,1
192,2274,5,35,0
4,371,6,32,0
192,378,6,35,1
4,1674,5,32,1
192,620,5,18,0
33,246,4,5,0
107,1248,6,35,1
208,853,4,30,0
181,1580,5,19,1
183,855,6,18,1
192,486,4,18,1
206,1466,1,30,0
4,1659,5,32,1
75,1426,5,32,0
66,1362,1,33,0
200,1123,5,18,1
35,1794,5,5,0
341,2114,5,32,0
38,838,5,16,1
151,693,5,35,0
160,894,4,35,0
124,75,5,14,1
52,794,4,14,0
159,298,5,19,1
110,1758,5,17,0
192,734,4,18,1
192,465,4,11,0
159,1302,5,19,0
153,1369,5,26,1
157,2324,5,33,0
162,99,5,5,1
255,1023,5,17,1
160,1865,1,18,1
108,2323,5,19,0
183,2305,5,18,0
157,1381,5,33,0
68,1660,5,32,1
66,2366,1,33,0
160,2378,6,35,1
153,2169,1,26,0
110,1247,5,17,1
314,2064,5,32,1
138,1617,5,18,1
110,876,4,17,1
195,1065,5,35,1
106,104,5,31,0
108,1584,5,19,1
329,2292,5,37,0
256,909,5,14,0
206,1643,5,30,0
177,303,5,4,0
113,2403,1,18,1
4,377,6,32,0
236,2342,4,33,0
217,423,1,4,1
264,2186,1,5,0
192,767,1,18,1
192,1186,5,2,1
192,2238,1,18,1
50,1391,5,18,0
269,556,5,18,0
108,57,5,19,0
192,1746,5,18,1
108,55,5,19,0
192,171,4,35,0
327,80,1,32,0
160,2093,4,18,0
109,1370,6,18,0
249,1764,5,30,1
116,2159,1,5,0
153,2048,5,26,0
124,100,5,14,1
276,1716,6,35,1
195,1904,5,30,1
160,891,4,35,0
206,1640,5,30,1
63,1412,4,0,1
7,1476,6,18,0
192,1990,5,20,1
249,28,5,30,1
33,1770,4,5,0
192,607,5,18,0
192,366,6,35,1
210,1149,5,19,1
108,1225,5,19,0
208,1677,5,30,1
195,1489,4,30,0
110,1252,5,17,1
208,1113,4,30,1
65,2254,1,33,1
192,1748,4,20,0
233,810,5,18,0
69,1774,5,35,0
157,1537,5,33,0
266,986,5,30,0
254,2259,5,18,1
204,2367,5,32,1
81,827,1,18,0
182,1204,5,19,1
11,812,5,32,1
160,1697,5,35,0
66,1495,1,33,0
84,1136,5,5,0
192,476,5,16,0
329,2293,5,37,0
192,450,4,29,1
